IS	O
ter	O
Vergaderinge	O
geleesen	O
de	O
Requeste	O
van	O
Maria	O
Sas	O
,	O
nagelaatene	B-HOE
Dogter	I-HOE
van	I-HOE
wylen	B-HOE
Mir	I-HOE
.	I-HOE
Johan	I-HOE
Sas	I-HOE
;	O
versoekende	O
,	O
dat	O
haar	O
Hoog	O
Mog	O
.	O
haar	O
met	O
een	O
gratificatie	O
gelieven	O
te	O
begunstigen	O
.	O
WAAR	O
op	O
gedelibereert	O
zynde	O
,	O
is	O
goedgevonden	O
en	O
verstaan	O
,	O
dat	O
Copie	O
van	O
de	O
voorsz	O
Requeste	O
gesteld	O
sal	O
worden	O
in	O
handen	O
van	O
de	O
Heeren	O
de	O
Cocq	O
van	O
Haeften	O
,	O
en	O
andere	O
haar	O
Hoog	O
Mog	O
.	O
Gedeputeerden	O
tot	O
de	O
saaken	O
van	O
de	O
Finantie	O
,	O
om	O
te	O
visiteeren	O
,	O
examineeren	O
,	O
en	O
van	O
alles	O
alhier	O
ter	O
Vergaderinge	O
rapport	O
te	O
doen	O
.	O
