ls	O
ter	O
Vergaderinge	O
gelesen	O
de	O
Requeste	O
van	O
Herman	B-PER
Vos	I-PER
,	I-PER
Agent	B-HOE
en	I-HOE
Solliciteur	I-HOE
Militain	I-HOE
alhier	I-HOE
in	I-HOE
den	B-LOC
Hage	I-LOC
,	I-PER
houdende	O
,	O
dat	O
hy	O
Suppliant	O
door	O
den	O
Heere	B-HOE
Marck-Grave	I-HOE
van	I-HOE
Brandenburgh-Anspach	B-LOC
,	O
in	O
conformité	O
van	O
sijne	B-HOE
Furstelijcke	I-HOE
Doorluchtigheyte	I-HOE
Acte	O
,	O
copielijck	O
nevens	O
de	O
voorschreve	O
Requeste	O
gevoegt	O
,	O
tot	O
des	O
selfs	O
Agent	B-HOE
alhier	O
was	O
aengestelt	O
geworden	O
,	O
versoeckende	O
,	O
dat	O
haer	O
Hoogh	O
Mogende	O
hem	O
Suppliant	O
in	O
gemelde	O
qualiteyt	O
geliefden	O
te	O
erkennen	O
,	O
ende	O
hem	O
daer	O
van	O
der	O
selver	O
Resolutie	O
te	O
verleenen	O
,	O
soo	O
als	O
aen	O
des	O
selts	O
Predecesseur	O
op	O
den	O
tweeden	B-DAT
Junii	I-DAT
seventien	I-DAT
hondert	I-DAT
acht	I-DAT
mede	O
geschiedt	O
was	O
.	O
Waer	O
'	O
op	O
gedelibereert	O
zijnde	O
,	O
hebben	O
de	O
Heeren	B-ORG
Gedeputeerden	I-ORG
van	I-ORG
de	I-ORG
Provincie	I-ORG
van	I-ORG
Hollandt	I-ORG
ende	I-ORG
West	I-ORG
-	I-ORG
Vrieslandt	I-ORG
de	O
voorschreve	O
Requeste	O
copielijck	O
overgenomen	O
om	O
in	O
den	O
haren	O
breder	O
gecommuniceert	O
te	O
werden	O
.	O
