OP	O
de	O
Requeste	O
van	O
Hendrick	B-PER
Hop	I-PER
,	I-PER
extraordinaris	I-PER
Envoyé	I-PER
aan	I-PER
het	I-PER
Hof	I-PER
van	I-PER
Groot-Brittannien	I-PER
,	O
in	O
gevolge	O
van	O
haar	O
Hoogh	O
Mogende	O
Ordres	O
,	O
sijne	B-PER
Koninghlijcke	I-PER
Majesteyt	I-PER
sullende	O
volgen	O
na	O
Hanover	O
.	O
IS	O
na	O
voorgaande	O
deliberatie	O
goedgevonden	O
ende	O
verstaan	O
,	O
dat	O
tem	O
behoeve	O
van	O
den	O
Suppliant	O
een	O
Pasport	O
zal	O
worden	O
gedepescheert	O
,	O
om	O
sijne	O
Bagagie	O
,	O
bestaande	O
in	O
neegen	O
Stucks	O
,	O
Koffers	O
,	O
Kisten	O
en	O
Valiesen	O
van	O
Num	O
.	O
1	O
tot	O
Num	O
.	O
9	O
incluys	O
,	O
gemerekt	O
HH	O
.	O
hier	O
te	O
Lande	O
te	O
moogen	O
in	O
-	O
en	O
uytvoeren	O
,	O
vry	O
en	O
sonder	O
betaalinge	O
van	O
'	O
s	O
Lands	O
gereghtigheyt	O
.	O
